Freguesia DW,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,,,,,,,,,
Camacha,PPD/PSD.CDS-PP,"29,49%",996,JPP,"26,50%",895,PS,"25,02%",845,CH,"4,20%",142,B.E.,"3,11%",105,IL,"2,19%",74,PAN,"1,90%",64,PCP-PEV,"1,63%",55,L,"0,68%",23,PTP,"0,62%",21,R.I.R.,"0,38%",13,ADN,"0,36%",12,MPT,"0,33%",11,PPM,"0,33%",11,E,"0,12%",4,MAS,"0,09%",3,EMBRANCO,"1,04%",35,NULOS,"2,01%",68,,,,,,,,,,,,
Santa Cruz,PS,"29,91%","1,035",JPP,"26,79%",927,PPD/PSD.CDS-PP,"24,65%",853,CH,"5,09%",176,B.E.,"2,92%",101,IL,"2,20%",76,PCP-PEV,"1,65%",57,PAN,"1,16%",40,PTP,"0,78%",27,ADN,"0,75%",26,R.I.R.,"0,58%",20,L,"0,46%",16,PPM,"0,38%",13,E,"0,20%",7,MPT,"0,12%",4,MAS,"0,09%",3,EMBRANCO,"0,49%",17,NULOS,"1,79%",62,,,,,,,,,,,,
Caniço,PPD/PSD.CDS-PP,"30,83%","3,577",PS,"27,09%","3,143",JPP,"19,38%","2,249",CH,"6,58%",764,IL,"4,08%",473,B.E.,"3,52%",408,PAN,"1,90%",220,PCP-PEV,"1,71%",198,L,"0,90%",104,ADN,"0,39%",45,PTP,"0,37%",43,R.I.R.,"0,34%",40,PPM,"0,24%",28,MPT,"0,18%",21,E,"0,16%",18,MAS,"0,12%",14,EMBRANCO,"0,64%",74,NULOS,"1,59%",185,,,,,,,,,,,,
Santo António,PPD/PSD,"31,19%","2,052",PS,"29,11%","1,915",IL,"13,77%",906,B.E.,"4,91%",323,L,"4,74%",312,PCP-PEV,"4,44%",292,CH,"4,23%",278,CDS-PP,"3,85%",253,PAN,"1,58%",104,ADN,"0,29%",19,PCTP/MRPP,"0,18%",12,R.I.R.,"0,14%",9,VP,"0,14%",9,MAS,"0,11%",7,MPT,"0,11%",7,NC,"0,09%",6,E,"0,06%",4,A,"0,05%",3,JPP,"0,05%",3,,,,,,,,,
Rebordões (Santa Maria),PPD/PSD,"31,40%",189,PS,"30,73%",185,CDS-PP,"15,78%",95,CH,"9,30%",56,B.E.,"3,32%",20,PCP-PEV,"2,33%",14,IL,"2,16%",13,PAN,"0,66%",4,E,"0,33%",2,L,"0,33%",2,MAS,"0,17%",1,MPT,"0,17%",1,R.I.R.,"0,17%",1,VP,"0,17%",1,A,"0,00%",0,EMBRANCO,"1,66%",10,NULOS,"1,33%",8,,,,,,,,,,,,,,,
Alvalade – Lisboa,PPD/PSD,"32,08%","6,696",PS,"29,96%","6,255",IL,"13,18%","2,752",CH,"4,96%","1,036",L,"4,66%",973,B.E.,"4,23%",882,PCP-PEV,"3,99%",832,CDS-PP,"2,91%",608,PAN,"1,84%",385,ADN,"0,22%",46,VP,"0,19%",40,PCTP/MRPP,"0,15%",32,R.I.R.,"0,13%",28,MAS,"0,10%",21,MPT,"0,08%",16,E,"0,05%",10,JPP,"0,03%",7,NC,"0,03%",7,A,"0,02%",4,,,,,,,,,
União das freguesias de Carcavelos e Parede,PS,"32,57%","8,39",PPD/PSD,"31,43%","8,097",IL,"10,99%","2,83",CH,"6,20%","1,596",B.E.,"4,50%","1,16",PCP-PEV,"3,53%",909,L,"3,28%",846,PAN,"2,48%",640,CDS-PP,"2,15%",554,ADN,"0,38%",98,R.I.R.,"0,20%",52,PCTP/MRPP,"0,20%",51,VP,"0,13%",33,MPT,"0,12%",31,MAS,"0,10%",26,NC,"0,09%",23,A,"0,04%",11,E,"0,04%",10,JPP,"0,02%",5,,,,,,,,,
Vimeiro – Lourinhã,PS,"32,94%",254,PPD/PSD,"31,65%",244,CH,"13,75%",106,B.E.,"4,41%",34,IL,"3,50%",27,PCP-PEV,"3,24%",25,PAN,"2,20%",17,CDS-PP,"1,95%",15,L,"1,69%",13,R.I.R.,"0,52%",4,MPT,"0,26%",2,JPP,"0,13%",1,MAS,"0,13%",1,PCTP/MRPP,"0,13%",1,A,"0,00%",0,ADN,"0,00%",0,E,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,,,,,,,,,
Santo Estêvão – Benavente,PPD/PSD,"33,01%",370,PS,"29,97%",336,CH,"15,43%",173,IL,"6,33%",71,PCP-PEV,"4,82%",54,CDS-PP,"2,77%",31,B.E.,"2,41%",27,PAN,"1,52%",17,L,"1,34%",15,VP,"0,54%",6,R.I.R.,"0,27%",3,MPT,"0,18%",2,E,"0,09%",1,PTP,"0,09%",1,MAS,"0,00%",0,EMBRANCO,"0,45%",5,NULOS,"0,80%",9,,,,,,,,,,,,,,,
"União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",PS,"33,05%",812,PPD/PSD,"31,75%",780,PCP-PEV,"12,66%",311,CH,"7,16%",176,IL,"4,07%",100,B.E.,"3,54%",87,CDS-PP,"2,52%",62,PAN,"1,38%",34,L,"1,14%",28,R.I.R.,"0,33%",8,VP,"0,16%",4,MAS,"0,12%",3,MPT,"0,12%",3,PTP,"0,04%",1,E,"0,00%",0,EMBRANCO,"1,26%",31,NULOS,"0,69%",17,,,,,,,,,,,,,,,
