Distrito,Concelho,Freguesia,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,,,,,,,,,
Aveiro,Águeda,Aguada de Cima,PPD/PSD,"39,67%",730,PS,"36,90%",679,CH,"7,99%",147,B.E.,"4,29%",79,IL,"3,59%",66,CDS-PP,"1,63%",30,PAN,"0,71%",13,L,"0,60%",11,R.I.R.,"0,54%",10,PCP-PEV,"0,49%",9,ADN,"0,16%",3,MPT,"0,16%",3,PCTP/MRPP,"0,16%",3,JPP,"0,05%",1,VP,"0,05%",1,E,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"1,52%",28,NULOS,"1,47%",27,,,,,,,,,
Aveiro,Águeda,Águeda e Borralha,PS,"40,72%","2,632",PPD/PSD,"34,79%","2,249",CH,"6,25%",404,IL,"5,03%",325,B.E.,"4,25%",275,PCP-PEV,"2,01%",130,CDS-PP,"1,84%",119,PAN,"1,02%",66,L,"0,62%",40,PCTP/MRPP,"0,34%",22,ADN,"0,22%",14,R.I.R.,"0,22%",14,MPT,"0,14%",9,VP,"0,12%",8,MAS,"0,11%",7,JPP,"0,08%",5,E,"0,06%",4,EMBRANCO,"1,36%",88,NULOS,"0,82%",53,,,,,,,,,
Aveiro,Águeda,Barrô e Aguada de Baixo,PPD/PSD,"40,46%",655,PS,"36,94%",598,CH,"6,42%",104,IL,"4,20%",68,B.E.,"3,58%",58,CDS-PP,"3,27%",53,PAN,"0,80%",13,L,"0,37%",6,PCTP/MRPP,"0,37%",6,PCP-PEV,"0,31%",5,ADN,"0,25%",4,MPT,"0,25%",4,R.I.R.,"0,25%",4,MAS,"0,12%",2,JPP,"0,06%",1,E,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,30%",21,NULOS,"1,05%",17,,,,,,,,,
Aveiro,Águeda,"Belazaima do Chão, Castanheira do Vouga e Agadão",PPD/PSD,"41,27%",331,PS,"36,91%",296,CH,"8,10%",65,IL,"2,99%",24,CDS-PP,"2,49%",20,B.E.,"2,12%",17,PCP-PEV,"0,75%",6,PAN,"0,50%",4,R.I.R.,"0,50%",4,PCTP/MRPP,"0,37%",3,L,"0,25%",2,ADN,"0,12%",1,E,"0,12%",1,MAS,"0,12%",1,JPP,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,37%",19,NULOS,"1,00%",8,,,,,,,,,
Aveiro,Águeda,Fermentelos,PPD/PSD,"54,33%",891,PS,"20,24%",332,CH,"8,11%",133,CDS-PP,"4,39%",72,IL,"4,15%",68,B.E.,"3,54%",58,PAN,"1,04%",17,PCP-PEV,"0,79%",13,L,"0,73%",12,E,"0,24%",4,PCTP/MRPP,"0,24%",4,R.I.R.,"0,18%",3,ADN,"0,06%",1,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,52%",25,NULOS,"0,43%",7,,,,,,,,,
Aveiro,Águeda,Macinhata do Vouga,PS,"43,85%",652,PPD/PSD,"31,20%",464,CH,"7,80%",116,B.E.,"4,77%",71,IL,"2,62%",39,CDS-PP,"2,56%",38,PCP-PEV,"2,22%",33,PAN,"0,81%",12,L,"0,61%",9,PCTP/MRPP,"0,47%",7,R.I.R.,"0,27%",4,E,"0,20%",3,MAS,"0,20%",3,ADN,"0,13%",2,VP,"0,13%",2,JPP,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,21%",18,NULOS,"0,94%",14,,,,,,,,,
Aveiro,Águeda,Préstimo e Macieira de Alcoba,PS,"39,91%",174,PPD/PSD,"33,94%",148,CH,"9,63%",42,B.E.,"4,82%",21,CDS-PP,"4,36%",19,IL,"2,29%",10,PAN,"1,15%",5,PCP-PEV,"0,46%",2,E,"0,23%",1,MPT,"0,23%",1,PCTP/MRPP,"0,23%",1,VP,"0,23%",1,ADN,"0,00%",0,JPP,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"1,61%",7,NULOS,"0,92%",4,,,,,,,,,
Aveiro,Águeda,Recardães e Espinhel,PS,"42,24%","1,331",PPD/PSD,"32,85%","1,035",CH,"6,98%",220,IL,"3,90%",123,B.E.,"3,87%",122,CDS-PP,"2,25%",71,PCP-PEV,"1,87%",59,PAN,"0,89%",28,L,"0,54%",17,PCTP/MRPP,"0,48%",15,R.I.R.,"0,48%",15,MPT,"0,25%",8,ADN,"0,19%",6,VP,"0,19%",6,MAS,"0,13%",4,E,"0,10%",3,JPP,"0,06%",2,EMBRANCO,"1,71%",54,NULOS,"1,02%",32,,,,,,,,,
Aveiro,Águeda,Travassô e Óis da Ribeira,PS,"39,71%",496,PPD/PSD,"37,15%",464,CH,"6,24%",78,B.E.,"4,24%",53,IL,"3,84%",48,CDS-PP,"3,04%",38,PCP-PEV,"1,04%",13,L,"0,72%",9,PAN,"0,64%",8,PCTP/MRPP,"0,32%",4,MAS,"0,24%",3,R.I.R.,"0,24%",3,ADN,"0,16%",2,JPP,"0,08%",1,E,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,68%",21,NULOS,"0,64%",8,,,,,,,,,
Aveiro,Águeda,"Trofa, Segadães e Lamas do Vouga",PS,"42,71%","1,007",PPD/PSD,"32,74%",772,CH,"5,89%",139,IL,"3,77%",89,B.E.,"3,73%",88,CDS-PP,"3,44%",81,PCP-PEV,"2,88%",68,PAN,"0,89%",21,PCTP/MRPP,"0,64%",15,R.I.R.,"0,42%",10,L,"0,38%",9,ADN,"0,21%",5,VP,"0,13%",3,MAS,"0,08%",2,E,"0,04%",1,JPP,"0,04%",1,MPT,"0,04%",1,EMBRANCO,"1,02%",24,NULOS,"0,93%",22,,,,,,,,,
